x;y
-0.40567;0.858688
-0.395894;0.864504
-0.386119;0.870255
-0.376344;0.875937
-0.366569;0.881544
-0.356794;0.887074
-0.347019;0.892521
-0.337243;0.897881
-0.327468;0.90315
-0.317693;0.908324
-0.307918;0.913398
-0.298143;0.918367
-0.288368;0.923228
-0.278592;0.927976
-0.268817;0.932607
-0.259042;0.937117
-0.249267;0.941501
-0.239492;0.945755
-0.229717;0.949875
-0.219941;0.953858
-0.210166;0.957699
-0.200391;0.961394
-0.190616;0.96494
-0.180841;0.968332
-0.171065;0.971569
-0.16129;0.974645
-0.151515;0.977558
-0.14174;0.980305
-0.131965;0.982883
-0.12219;0.985289
-0.112414;0.987521
-0.102639;0.989575
-0.0928641;0.99145
-0.083089;0.993144
-0.0733138;0.994654
-0.0635386;0.995979
-0.0537634;0.997118
-0.0439883;0.998069
-0.0342131;0.998831
-0.0244379;0.999403
-0.0146628;0.999785
-0.00488759;0.999976
0.00488759;0.999976
0.0146628;0.999785
0.0244379;0.999403
0.0342131;0.998831
0.0439883;0.998069
0.0537634;0.997118
0.0635386;0.995979
0.0733138;0.994654
0.083089;0.993144
0.0928641;0.99145
0.102639;0.989575
0.112414;0.987521
0.12219;0.985289
0.131965;0.982883
0.14174;0.980305
0.151515;0.977558
0.16129;0.974645
0.171065;0.971569
0.180841;0.968332
0.190616;0.96494
0.200391;0.961394
0.210166;0.957699
0.219941;0.953858
0.229717;0.949875
0.239492;0.945755
0.249267;0.941501
0.259042;0.937117
0.268817;0.932607
0.278592;0.927976
0.288368;0.923228
0.298143;0.918367
0.307918;0.913398
0.317693;0.908324
0.327468;0.90315
0.337243;0.897881
0.347019;0.892521
0.356794;0.887074
0.366569;0.881544
0.376344;0.875937
0.386119;0.870255
0.395894;0.864504
0.40567;0.858688
0.415445;0.85281
0.42522;0.846875
0.434995;0.840887
0.44477;0.83485
0.454545;0.828767
0.464321;0.822643
0.474096;0.816482
0.483871;0.810287
0.493646;0.804061
0.503421;0.797809
0.513196;0.791533
0.522972;0.785238
0.532747;0.778926
0.542522;0.7726
0.552297;0.766265
0.562072;0.759922
0.571848;0.753574
0.581623;0.747225
0.591398;0.740877
0.601173;0.734533
0.610948;0.728195
0.620723;0.721867
0.630499;0.715549
0.640274;0.709245
0.650049;0.702956
0.659824;0.696686
0.669599;0.690435
0.679374;0.684205
0.68915;0.678
0.698925;0.671819
0.7087;0.665666
0.718475;0.659541
0.72825;0.653446
0.738025;0.647383
0.747801;0.641352
0.757576;0.635356
0.767351;0.629395
0.777126;0.623471
0.786901;0.617584
0.796676;0.611736
0.806452;0.605927
0.816227;0.600159
0.826002;0.594432
0.835777;0.588747
0.845552;0.583104
0.855327;0.577506
0.865103;0.571951
0.874878;0.56644
0.884653;0.560975
0.894428;0.555555
0.904203;0.550181
0.913978;0.544853
0.923754;0.539572
0.933529;0.534338
0.943304;0.52915
0.953079;0.52401
0.962854;0.518918
0.97263;0.513872
0.982405;0.508875
0.99218;0.503925
1.00196;0.499023
1.01173;0.494169
1.02151;0.489363
1.03128;0.484604
1.04106;0.479893
1.05083;0.47523
1.06061;0.470614
1.07038;0.466045
1.08016;0.461523
1.08993;0.457049
1.09971;0.452621
1.10948;0.44824
1.11926;0.443905
1.12903;0.439616
1.13881;0.435373
1.14858;0.431175
1.15836;0.427023
1.16813;0.422916
1.17791;0.418854
1.18768;0.414836
1.19746;0.410862
1.20723;0.406932
1.21701;0.403045
1.22678;0.399202
1.23656;0.395401
1.24633;0.391642
1.25611;0.387926
1.26588;0.384251
1.27566;0.380618
1.28543;0.377025
1.29521;0.373473
1.30499;0.369961
1.31476;0.366489
1.32454;0.363056
1.33431;0.359662
1.34409;0.356307
1.35386;0.35299
1.36364;0.349711
1.37341;0.346469
1.38319;0.343264
1.39296;0.340096
1.40274;0.336965
1.41251;0.333869
1.42229;0.330808
1.43206;0.327783
1.44184;0.324792
1.45161;0.321835
1.46139;0.318913
1.47116;0.316024
1.48094;0.313168
1.49071;0.310344
1.50049;0.307554
1.51026;0.304795
1.52004;0.302067
1.52981;0.299371
1.53959;0.296706
1.54936;0.294072
1.55914;0.291467
1.56891;0.288893
1.57869;0.286347
1.58847;0.283831
1.59824;0.281344
1.60802;0.278884
1.61779;0.276453
1.62757;0.27405
1.63734;0.271674
1.64712;0.269325
1.65689;0.267002
1.66667;0.264706
1.67644;0.262436
1.68622;0.260191
1.69599;0.257972
1.70577;0.255778
1.71554;0.253608
1.72532;0.251463
1.73509;0.249343
1.74487;0.247245
1.75464;0.245172
1.76442;0.243121
1.77419;0.241094
1.78397;0.239089
1.79374;0.237106
1.80352;0.235146
1.81329;0.233207
1.82307;0.23129
1.83284;0.229394
1.84262;0.227518
1.85239;0.225664
1.86217;0.22383
1.87195;0.222016
1.88172;0.220222
1.8915;0.218448
1.90127;0.216693
1.91105;0.214957
1.92082;0.21324
1.9306;0.211542
1.94037;0.209862
1.95015;0.2082
1.95992;0.206556
1.9697;0.20493
1.97947;0.203322
1.98925;0.201731
1.99902;0.200156
2.0088;0.198599
2.01857;0.197058
2.02835;0.195534
2.03812;0.194026
2.0479;0.192534
2.05767;0.191058
2.06745;0.189597
2.07722;0.188152
2.087;0.186722
2.09677;0.185307
2.10655;0.183906
2.11632;0.182521
2.1261;0.18115
2.13587;0.179793
2.14565;0.17845
2.15543;0.177121
2.1652;0.175806
2.17498;0.174504
2.18475;0.173216
2.19453;0.171941
2.2043;0.170679
2.21408;0.16943
2.22385;0.168194
2.23363;0.16697
2.2434;0.165759
2.25318;0.16456
2.26295;0.163373
2.27273;0.162198
2.2825;0.161035
2.29228;0.159884
2.30205;0.158744
2.31183;0.157616
2.3216;0.156498
2.33138;0.155392
2.34115;0.154297
2.35093;0.153213
2.3607;0.152139
2.37048;0.151076
2.38025;0.150024
2.39003;0.148982
2.3998;0.14795
2.40958;0.146928
2.41935;0.145916
2.42913;0.144913
2.43891;0.143921
2.44868;0.142938
2.45846;0.141965
2.46823;0.141001
2.47801;0.140046
2.48778;0.1391
2.49756;0.138164
2.50733;0.137236
2.51711;0.136317
2.52688;0.135407
2.53666;0.134506
2.54643;0.133613
2.55621;0.132728
2.56598;0.131852
2.57576;0.130984
2.58553;0.130124
2.59531;0.129272
2.60508;0.128428
2.61486;0.127592
2.62463;0.126764
2.63441;0.125943
2.64418;0.12513
2.65396;0.124324
2.66373;0.123526
2.67351;0.122735
2.68328;0.121951
2.69306;0.121174
2.70283;0.120405
2.71261;0.119642
2.72239;0.118887
2.73216;0.118138
2.74194;0.117396
2.75171;0.11666
2.76149;0.115931
2.77126;0.115209
2.78104;0.114493
2.79081;0.113783
2.80059;0.11308
2.81036;0.112383
2.82014;0.111692
2.82991;0.111007
2.83969;0.110329
2.84946;0.109656
2.85924;0.108989
2.86901;0.108328
2.87879;0.107673
2.88856;0.107023
2.89834;0.106379
2.90811;0.10574
2.91789;0.105107
2.92766;0.10448
2.93744;0.103858
2.94721;0.103241
2.95699;0.10263
2.96676;0.102023
2.97654;0.101422
2.98631;0.100826
2.99609;0.100235
3.00587;0.099649
3.01564;0.0990679
3.02542;0.0984917
3.03519;0.0979203
3.04497;0.0973538
3.05474;0.0967919
3.06452;0.0962347
3.07429;0.0956822
3.08407;0.0951342
3.09384;0.0945908
3.10362;0.0940518
3.11339;0.0935173
3.12317;0.0929872
3.13294;0.0924614
3.14272;0.0919399
3.15249;0.0914226
3.16227;0.0909096
3.17204;0.0904007
3.18182;0.089896
3.19159;0.0893953
3.20137;0.0888987
3.21114;0.088406
3.22092;0.0879174
3.23069;0.0874326
3.24047;0.0869517
3.25024;0.0864746
3.26002;0.0860013
3.26979;0.0855318
3.27957;0.085066
3.28935;0.0846039
3.29912;0.0841454
3.3089;0.0836905
3.31867;0.0832392
3.32845;0.0827914
3.33822;0.0823471
3.348;0.0819063
3.35777;0.0814689
3.36755;0.0810349
3.37732;0.0806042
3.3871;0.0801769
3.39687;0.0797528
3.40665;0.0793321
3.41642;0.0789145
3.4262;0.0785002
3.43597;0.078089
3.44575;0.0776809
3.45552;0.0772759
3.4653;0.076874
3.47507;0.0764752
3.48485;0.0760794
3.49462;0.0756865
3.5044;0.0752966
3.51417;0.0749096
3.52395;0.0745255
3.53372;0.0741443
3.5435;0.073766
3.55327;0.0733904
3.56305;0.0730176
3.57283;0.0726476
3.5826;0.0722803
3.59238;0.0719157
3.60215;0.0715538
3.61193;0.0711946
3.6217;0.070838
3.63148;0.070484
3.64125;0.0701326
3.65103;0.0697837
3.6608;0.0694374
3.67058;0.0690935
3.68035;0.0687522
3.69013;0.0684133
3.6999;0.0680769
3.70968;0.0677428
3.71945;0.0674112
3.72923;0.067082
3.739;0.066755
3.74878;0.0664305
3.75855;0.0661082
3.76833;0.0657882
3.7781;0.0654704
3.78788;0.065155
3.79765;0.0648417
3.80743;0.0645306
3.8172;0.0642218
3.82698;0.063915
3.83675;0.0636105
3.84653;0.063308
3.8563;0.0630077
3.86608;0.0627094
3.87586;0.0624132
3.88563;0.062119
3.89541;0.0618269
3.90518;0.0615368
3.91496;0.0612487
3.92473;0.0609625
3.93451;0.0606784
3.94428;0.0603961
3.95406;0.0601158
3.96383;0.0598374
3.97361;0.0595608
3.98338;0.0592862
3.99316;0.0590134
4.00293;0.0587424
4.01271;0.0584733
4.02248;0.058206
4.03226;0.0579404
4.04203;0.0576767
4.05181;0.0574147
4.06158;0.0571544
4.07136;0.0568959
4.08113;0.0566391
4.09091;0.056384
4.10068;0.0561305
4.11046;0.0558788
4.12023;0.0556287
4.13001;0.0553802
4.13978;0.0551334
4.14956;0.0548882
4.15934;0.0546446
4.16911;0.0544026
4.17889;0.0541621
4.18866;0.0539232
4.19844;0.0536859
4.20821;0.0534501
4.21799;0.0532158
4.22776;0.052983
4.23754;0.0527518
4.24731;0.052522
4.25709;0.0522936
4.26686;0.0520668
4.27664;0.0518413
4.28641;0.0516173
4.29619;0.0513948
4.30596;0.0511736
4.31574;0.0509539
4.32551;0.0507355
4.33529;0.0505185
4.34506;0.0503029
4.35484;0.0500886
4.36461;0.0498757
4.37439;0.0496641
4.38416;0.0494538
4.39394;0.0492448
4.40371;0.0490372
4.41349;0.0488308
4.42326;0.0486257
4.43304;0.0484218
4.44282;0.0482192
4.45259;0.0480179
4.46237;0.0478178
4.47214;0.047619
4.48192;0.0474213
4.49169;0.0472249
4.50147;0.0470296
4.51124;0.0468356
4.52102;0.0466427
4.53079;0.046451
4.54057;0.0462604
4.55034;0.046071
4.56012;0.0458828
4.56989;0.0456957
4.57967;0.0455097
4.58944;0.0453248
4.59922;0.045141
4.60899;0.0449583
4.61877;0.0447767
4.62854;0.0445962
4.63832;0.0444168
4.64809;0.0442384
4.65787;0.0440611
4.66764;0.0438849
4.67742;0.0437096
4.68719;0.0435354
4.69697;0.0433623
4.70674;0.0431901
4.71652;0.043019
4.7263;0.0428488
4.73607;0.0426797
4.74585;0.0425115
4.75562;0.0423443
4.7654;0.0421781
4.77517;0.0420128
4.78495;0.0418485
4.79472;0.0416852
4.8045;0.0415227
4.81427;0.0413613
4.82405;0.0412007
4.83382;0.0410411
4.8436;0.0408823
4.85337;0.0407245
4.86315;0.0405676
4.87292;0.0404116
4.8827;0.0402565
4.89247;0.0401022
4.90225;0.0399488
4.91202;0.0397963
4.9218;0.0396446
4.93157;0.0394938
4.94135;0.0393439
4.95112;0.0391947
4.9609;0.0390465
4.97067;0.038899
4.98045;0.0387524
4.99022;0.0386065
5;-nan
